sample_name	bam	population	colony	het
SRR5221743	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221743_minq20.nocig.realigned.bam	unclassified	C_3160	9.172755456413669e-5
SRR5221744	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221744_minq20.nocig.realigned.bam	unclassified	C_3156	5.4506852710020544e-5
SRR5221745	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221745_minq20.nocig.realigned.bam	unclassified	C_3156	1.0003952703751149e-4
SRR5221746	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221746_minq20.nocig.realigned.bam	unclassified	C_3156	6.413011588105418e-5
SRR5221747	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221747_minq20.nocig.realigned.bam	unclassified	C_3155	9.984574947602874e-5
SRR5221748	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221748_minq20.nocig.realigned.bam	unclassified	C_3155	7.08759416765071e-5
SRR5221749	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221749_minq20.nocig.realigned.bam	unclassified	C_3155	5.871085778081775e-5
SRR5221750	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221750_minq20.nocig.realigned.bam	unclassified	C_3154	6.08080659497542e-4
SRR5221751	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221751_minq20.nocig.realigned.bam	unclassified	C_3154	7.492629157568655e-5
SRR5221752	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221752_minq20.nocig.realigned.bam	unclassified	C_3154	7.073801865281218e-5
SRR5221753	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221753_minq20.nocig.realigned.bam	unclassified	C_3152	1.5599843371010686e-4
SRR5221754	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221754_minq20.nocig.realigned.bam	unclassified	C_3152	7.929834916485091e-5
SRR5221755	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221755_minq20.nocig.realigned.bam	unclassified	C_3152	6.620515313449492e-5
SRR5221756	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221756_minq20.nocig.realigned.bam	unclassified	C_3145	1.0155854699531033e-4
SRR5221757	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221757_minq20.nocig.realigned.bam	unclassified	C_3145	4.636870960851785e-4
SRR5221758	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221758_minq20.nocig.realigned.bam	unclassified	C_3145	6.77805239461032e-5
