sample_name	species	population	bam
EU2-17-10	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-17-10.ragweed2021.realigned.bam
EU2-17-11	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-17-11.ragweed2021.realigned.bam
EU2-17-1	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-17-1.ragweed2021.realigned.bam
EU2-17-2	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-17-2.ragweed2021.realigned.bam
EU2-17-3	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-17-3.ragweed2021.realigned.bam
EU2-17-5	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-17-5.ragweed2021.realigned.bam
EU2-17-6	Ambrosia_artemisiifolia	NLAppeldorn	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-17-6.ragweed2021.realigned.bam
EU2-17-7	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-17-7.ragweed2021.realigned.bam
EU2-17-8	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-17-8.ragweed2021.realigned.bam
EU2-17-9	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-17-9.ragweed2021.realigned.bam
EU2-19-1	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-19-1.ragweed2021.realigned.bam
EU2-19-2	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-19-2.ragweed2021.realigned.bam
EU2-20-10	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-20-10.ragweed2021.realigned.bam
EU2-20-11	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-20-11.ragweed2021.realigned.bam
EU2-20-1	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-20-1.ragweed2021.realigned.bam
EU2-21-13	Ambrosia_artemisiifolia	CRPrague	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-21-13.ragweed2021.realigned.bam
EU2-21-14	Ambrosia_artemisiifolia	CRPrague	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-21-14.ragweed2021.realigned.bam
EU2-21-16	Ambrosia_artemisiifolia	CRPrague	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-21-16.ragweed2021.realigned.bam
EU2-21-18	Ambrosia_artemisiifolia	CRPrague	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-21-18.ragweed2021.realigned.bam
EU2-21-20	Ambrosia_artemisiifolia	CRPrague	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-21-20.ragweed2021.realigned.bam
EU2-21-22	Ambrosia_artemisiifolia	CRPrague	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-21-22.ragweed2021.realigned.bam
EU2-21-24	Ambrosia_artemisiifolia	CRPrague	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-21-24.ragweed2021.realigned.bam
EU2-21-27	Ambrosia_artemisiifolia	CRPrague	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-21-27.ragweed2021.realigned.bam
EU2-21-28	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-21-28.ragweed2021.realigned.bam
EU2-21-29	Ambrosia_artemisiifolia	CRPrague	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-21-29.ragweed2021.realigned.bam
EU2-22-10	Ambrosia_artemisiifolia	CRBrno	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-22-10.ragweed2021.realigned.bam
EU2-22-13	Ambrosia_artemisiifolia	CRBrno	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-22-13.ragweed2021.realigned.bam
EU2-22-15	Ambrosia_artemisiifolia	CRBrno	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-22-15.ragweed2021.realigned.bam
EU2-22-18	Ambrosia_artemisiifolia	CRBrno	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-22-18.ragweed2021.realigned.bam
EU2-22-19	Ambrosia_artemisiifolia	CRBrno	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-22-19.ragweed2021.realigned.bam
EU2-22-1	Ambrosia_artemisiifolia	CRBrno	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-22-1.ragweed2021.realigned.bam
EU2-22-22	Ambrosia_artemisiifolia	CRBrno	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-22-22.ragweed2021.realigned.bam
EU2-22-24	Ambrosia_artemisiifolia	CRBrno	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-22-24.ragweed2021.realigned.bam
EU2-22-25	Ambrosia_artemisiifolia	CRBrno	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-22-25.ragweed2021.realigned.bam
EU2-22-26	Ambrosia_artemisiifolia	CRBrno	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-22-26.ragweed2021.realigned.bam
EU2-23-10	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-23-10.ragweed2021.realigned.bam
EU2-23-12	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-23-12.ragweed2021.realigned.bam
EU2-23-17	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-23-17.ragweed2021.realigned.bam
EU2-24-10	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-24-10.ragweed2021.realigned.bam
