sample_title;Accession;sample_description;tissue_type;geographic location (region and locality)
BAL_22_HER112a;ERS11963884;Western Baltic Autumn Spawning herring;bone;Selso-Vestby, Denmark, 10th-11th century
BAL_22_HER112b;ERS11963885;Western Baltic Autumn Spawning herring;bone;Selso-Vestby, Denmark, 10th-11th century
BAL_22_HER113;ERS11963886;Western Baltic Autumn Spawning herring;bone;Selso-Vestby, Denmark, 10th-11th century
BAL_22_HER114;ERS11963887;Baltic Autumn Spawning herring;bone;Selso-Vestby, Denmark, 10th-11th century
BAL_22_HER115;ERS11963888;Western Baltic Autumn Spawning herring;bone;Selso-Vestby, Denmark, 10th-11th century
BAL_22_HER116;ERS11963889;Baltic Autumn Spawning herring;bone;Selso-Vestby, Denmark, 1290-1380 CE
BAL_22_HER117;ERS11963890;Western Baltic Autumn Spawning herring;bone;Selso-Vestby, Denmark, 1290-1380 CE
BAL_22_HER118a;ERS11963891;Baltic Autumn Spawning herring;bone;Selso-Vestby, Denmark, 1290-1380 CE
BAL_22_HER118b;ERS11963892;Baltic Autumn Spawning herring;bone;Selso-Vestby, Denmark, 1290-1380 CE
BAL_22_HER118c;ERS11963893;Baltic Autumn Spawning herring;bone;Selso-Vestby, Denmark, 1290-1380 CE
BAL_22_HER118d;ERS11963894;Baltic Autumn Spawning herring;bone;Selso-Vestby, Denmark, 1290-1380 CE
BAL_22_HER118e;ERS11963895;Baltic Autumn Spawning herring;bone;Selso-Vestby, Denmark, 1290-1380 CE
BAL_22_M-HER001;ERS11963896;Atlantic Spring Spawning herring;tissue;Karmoy, Norway, 2002
BAL_22_M-HER002;ERS11963897;Atlantic Spring Spawning herring;tissue;Karmoy, Norway, 2002
BAL_22_M-HER003;ERS11963898;Atlantic Spring Spawning herring;tissue;Karmoy, Norway, 2002
BAL_22_M-HER005;ERS11963899;Atlantic Spring Spawning herring;tissue;More, Norway, 2002
BAL_22_M-HER006;ERS11963900;Atlantic Spring Spawning herring;tissue;More, Norway, 2002
BAL_22_M-HER007;ERS11963901;Atlantic Spring Spawning herring;tissue;More, Norway, 2002
BAL_22_M-HER008;ERS11963902;Atlantic Spring Spawning herring;tissue;More, Norway, 2002
BAL_22_M-HER009;ERS11963903;Atlantic Spring Spawning herring;tissue;Risor, Norway, 2003
BAL_22_M-HER010;ERS11963904;Atlantic Spring Spawning herring;tissue;Risor, Norway, 2003
BAL_22_M-HER011;ERS11963905;Atlantic Spring Spawning herring;tissue;Risor, Norway, 2003
BAL_22_M-HER012;ERS11963906;Atlantic Spring Spawning herring;tissue;Risor, Norway, 2003
BAL_22_M-HER013;ERS11963907;Atlantic Spring Spawning herring;tissue;Måseskär, Sweden, 2003
BAL_22_M-HER014;ERS11963908;Atlantic Spring Spawning herring;tissue;Måseskär, Sweden, 2003
BAL_22_M-HER015;ERS11963909;Atlantic Spring Spawning herring;tissue;Måseskär, Sweden, 2003
BAL_22_M-HER016;ERS11963910;Baltic Spring Spawning herring;tissue;Kalix, Finland, 2002
BAL_22_M-HER017;ERS11963911;Baltic Spring Spawning herring;tissue;Kalix, Finland, 2002
