"cleaned_id","sample_id","species","sample_title","sample_accession","scientific_name","library_name","base_count","Accession","sample_description","tissue_type","geographic location (region and locality)","population"
"ERR9709235","unclassified-kra_unclassified-seq_ERR9709235__merged","Clupea","BAL_22_M-HER038","SAMEA14369701","Clupea harengus","M-HER038",16070797422,"ERS11963929","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003","RISO"
"ERR9709236","unclassified-kra_unclassified-seq_ERR9709236__merged","Clupea","BAL_22_M-HER039","SAMEA14369702","Clupea harengus","M-HER039",12996757844,"ERS11963930","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003","RISO"
"ERR9709238","unclassified-kra_unclassified-seq_ERR9709238__merged","Clupea","BAL_22_M-HER045","SAMEA14369704","Clupea harengus","M-HER045",16197661280,"ERS11963932","Atlantic Spring Spawning herring","tissue","Idefjord - Outer, Norway, 2010","IDEO"
"ERR9709240","unclassified-kra_unclassified-seq_ERR9709240__merged","Clupea","BAL_22_M-HER052","SAMEA14369706","Clupea harengus","M-HER052",17375275248,"ERS11963934","Baltic Spring Spawning herring","tissue","Kalmarsund, Sweden, 2010","KALM"
"ERR9709241","unclassified-kra_unclassified-seq_ERR9709241__merged","Clupea","BAL_22_M-HER053","SAMEA14369707","Clupea harengus","M-HER053",14738021592,"ERS11963935","Atlantic Spring Spawning herring","tissue","Karmoy, Norway, 2002","KARM"
"ERR9709242","unclassified-kra_unclassified-seq_ERR9709242__merged","Clupea","BAL_22_M-HER054","SAMEA14369708","Clupea harengus","M-HER054",18112742034,"ERS11963936","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002","KALI"
"ERR9709243","unclassified-kra_unclassified-seq_ERR9709243__merged","Clupea","BAL_22_M-HER055","SAMEA14369709","Clupea harengus","M-HER055",17706328554,"ERS11963937","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002","KALI"
"ERR9709244","unclassified-kra_unclassified-seq_ERR9709244__merged","Clupea","BAL_22_M-HER056","SAMEA14369710","Clupea harengus","M-HER056",18509756066,"ERS11963938","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002","KALI"
"ERR9709245","unclassified-kra_unclassified-seq_ERR9709245__merged","Clupea","BAL_22_M-HER057","SAMEA14369711","Clupea harengus","M-HER057",15309945266,"ERS11963939","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010","BLEK"
"ERR9709246","unclassified-kra_unclassified-seq_ERR9709246__merged","Clupea","BAL_22_M-HER058","SAMEA14369712","Clupea harengus","M-HER058",24665772688,"ERS11963940","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010","BLEK"
"ERR9709247","unclassified-kra_unclassified-seq_ERR9709247__merged","Clupea","BAL_22_M-HER059","SAMEA14369713","Clupea harengus","M-HER059",15749399962,"ERS11963941","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010","BLEK"
"ERR9709248","unclassified-kra_unclassified-seq_ERR9709248__merged","Clupea","BAL_22_M-HER061","SAMEA14369714","Clupea harengus","M-HER061",18900037310,"ERS11963942","Atlantic Spring Spawning herring","tissue","Idefjord - Inner, Norway, 2010","IDEI"
"ERR9709249","unclassified-kra_unclassified-seq_ERR9709249__merged","Clupea","BAL_22_M-HER062","SAMEA14369715","Clupea harengus","M-HER062",15528906440,"ERS11963943","Atlantic Spring Spawning herring","tissue","Idefjord - Inner, Norway, 2010","IDEI"
"ERR9709251","unclassified-kra_unclassified-seq_ERR9709251__merged","Clupea","BAL_22_M-HER064","SAMEA14369717","Clupea harengus","M-HER064",12005162588,"ERS11963945","Atlantic Spring Spawning herring","fin tip","Idefjord - Outer, Norway, 2010","IDEO"
"ERR9709252","unclassified-kra_unclassified-seq_ERR9709252__merged","Clupea","BAL_22_M-HER065","SAMEA14369718","Clupea harengus","M-HER065",18323072350,"ERS11963946","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003","RISO"
"ERR9709253","unclassified-kra_unclassified-seq_ERR9709253__merged","Clupea","BAL_22_M-HER066","SAMEA14369719","Clupea harengus","M-HER066",13133216242,"ERS11963947","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003","RISO"
