"sample_title","sample_accession","run_accession","scientific_name","library_name","base_count","Accession","sample_description","tissue_type","geographic location (region and locality)"
"BAL_22_HER045b","SAMEA14369621","ERR9709156","Clupea harengus","HER045E1bL2",3115957782,"ERS11963850","Western Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER045c","SAMEA14369622","ERR9709157","Clupea harengus","HER045E1bL3",772433554,"ERS11963851","Western Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER045d","SAMEA14369623","ERR9709158","Clupea harengus","HER045E1bL4",5214217240,"ERS11963852","Western Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER046a","SAMEA14369624","ERR9709159","Clupea harengus","HER046E1bL1",1473592994,"ERS11963853","Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER046b","SAMEA14369625","ERR9709160","Clupea harengus","HER046E1bL2",813449986,"ERS11963854","Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER046c","SAMEA14369626","ERR9709161","Clupea harengus","HER046E1bL2",10423497082,"ERS11963855","Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER047a","SAMEA14369627","ERR9709162","Clupea harengus","HER047E1bL1",2361302968,"ERS11963856","Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER047b","SAMEA14369628","ERR9709163","Clupea harengus","HER047E1bL1",90549880382,"ERS11963857","Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER047c","SAMEA14369629","ERR9709164","Clupea harengus","HER047E1bL2",775199270,"ERS11963858","Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER047d","SAMEA14369630","ERR9709165","Clupea harengus","HER047E1bL3",2503378566,"ERS11963859","Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER047e","SAMEA14369631","ERR9709166","Clupea harengus","HER047E1bL4",2671116916,"ERS11963860","Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER048","SAMEA14369632","ERR9709167","Clupea harengus","HER048E1bL2",828164030,"ERS11963861","Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER050","SAMEA14369633","ERR9709168","Clupea harengus","HER050E1bL1",8247486818,"ERS11963862","Western Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER051a","SAMEA14369634","ERR9709169","Clupea harengus","HER051E1bL1",576268246,"ERS11963863","Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER051b","SAMEA14369635","ERR9709170","Clupea harengus","HER051E1bL1",19368892914,"ERS11963864","Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER051c","SAMEA14369636","ERR9709171","Clupea harengus","HER051E1bL3",1666805950,"ERS11963865","Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER052a","SAMEA14369637","ERR9709172","Clupea harengus","HER052E1bL1",543646206,"ERS11963866","Western Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER052b","SAMEA14369638","ERR9709173","Clupea harengus","HER052E1bL2",1313589468,"ERS11963867","Western Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER054","SAMEA14369639","ERR9709174","Clupea harengus","HER054E1bL2",911921918,"ERS11963868","Western Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER055a","SAMEA14369640","ERR9709175","Clupea harengus","HER055E1bL1",1853677812,"ERS11963869","Western Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER055b","SAMEA14369641","ERR9709176","Clupea harengus","HER055E1bL2",1558679380,"ERS11963870","Western Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER056a","SAMEA14369642","ERR9709177","Clupea harengus","HER056E1bL1",1699100018,"ERS11963871","Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER056b","SAMEA14369643","ERR9709178","Clupea harengus","HER056E1bL1",13560104718,"ERS11963872","Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER056c","SAMEA14369644","ERR9709179","Clupea harengus","HER056E1bL2",1604755218,"ERS11963873","Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER056d","SAMEA14369645","ERR9709180","Clupea harengus","HER056E1bL3",2956899818,"ERS11963874","Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER056e","SAMEA14369646","ERR9709181","Clupea harengus","HER056E1bL4",4315181964,"ERS11963875","Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER057a","SAMEA14369647","ERR9709182","Clupea harengus","HER057E1bL1",1712863668,"ERS11963876","Western Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER057b","SAMEA14369648","ERR9709183","Clupea harengus","HER057E1bL2",1584470784,"ERS11963877","Western Baltic Autumn Spawning herring","bone","Kolowbrzweg Budzistowo, Poland, 750-850 CE"
"BAL_22_HER059a","SAMEA14369649","ERR9709184","Clupea harengus","HER059E1bL2",21346568,"ERS11963878","Baltic Autumn Spawning herring","bone","Kadriorg Wreck, Estonia, 14th century"
"BAL_22_HER059b","SAMEA14369650","ERR9709185","Clupea harengus","HER059E1bL2",22361361084,"ERS11963879","Baltic Autumn Spawning herring","bone","Kadriorg Wreck, Estonia, 14th century"
"BAL_22_HER059c","SAMEA14369651","ERR9709186","Clupea harengus","HER059E1bL3",1127508846,"ERS11963880","Baltic Autumn Spawning herring","bone","Kadriorg Wreck, Estonia, 14th century"
"BAL_22_HER110a","SAMEA14369652","ERR9709187","Clupea harengus","HER110E1bL2",1628050894,"ERS11963881","Baltic Autumn Spawning herring","bone","Selso-Vestby, Denmark, 10th century"
"BAL_22_HER110b","SAMEA14369653","ERR9709188","Clupea harengus","HER110E1bL2",16445030084,"ERS11963882","Baltic Autumn Spawning herring","bone","Selso-Vestby, Denmark, 10th century"
"BAL_22_HER111","SAMEA14369654","ERR9709189","Clupea harengus","HER111E1bL2",2550357686,"ERS11963883","Baltic Autumn Spawning herring","bone","Selso-Vestby, Denmark, 10th-11th century"
"BAL_22_HER112a","SAMEA14369655","ERR9709190","Clupea harengus","HER112E1bL2",1399067548,"ERS11963884","Western Baltic Autumn Spawning herring","bone","Selso-Vestby, Denmark, 10th-11th century"
"BAL_22_HER112b","SAMEA14369656","ERR9709191","Clupea harengus","HER112E1bL2",17416584318,"ERS11963885","Western Baltic Autumn Spawning herring","bone","Selso-Vestby, Denmark, 10th-11th century"
"BAL_22_HER113","SAMEA14369657","ERR9709192","Clupea harengus","HER113E1bL2",3236564502,"ERS11963886","Western Baltic Autumn Spawning herring","bone","Selso-Vestby, Denmark, 10th-11th century"
"BAL_22_HER114","SAMEA14369658","ERR9709193","Clupea harengus","HER114E1bL2",1286763110,"ERS11963887","Baltic Autumn Spawning herring","bone","Selso-Vestby, Denmark, 10th-11th century"
