sample_name	bam	population	colony
SRR5221737	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221737_minq20.nocig.realigned.bam	MAS	C_3163
SRR5221738	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221738_minq20.nocig.realigned.bam	MAS	C_3162
SRR5221740	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221740_minq20.nocig.realigned.bam	MAS	C_3162
SRR5221741	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221741_minq20.nocig.realigned.bam	MAS	C_3160
SRR5221742	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221742_minq20.nocig.realigned.bam	MAS	C_3160
SRR5221743	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221743_minq20.nocig.realigned.bam	MAS	C_3160
SRR5221744	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221744_minq20.nocig.realigned.bam	MAS	C_3156
SRR5221745	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221745_minq20.nocig.realigned.bam	MAS	C_3156
SRR5221746	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221746_minq20.nocig.realigned.bam	MAS	C_3156
SRR5221747	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221747_minq20.nocig.realigned.bam	MAS	C_3155
SRR5221748	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221748_minq20.nocig.realigned.bam	MAS	C_3155
SRR5221749	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221749_minq20.nocig.realigned.bam	MAS	C_3155
SRR5221750	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221750_minq20.nocig.realigned.bam	MAS	C_3154
SRR5221751	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221751_minq20.nocig.realigned.bam	MAS	C_3154
SRR5221752	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221752_minq20.nocig.realigned.bam	MAS	C_3154
SRR5221753	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221753_minq20.nocig.realigned.bam	MAS	C_3152
SRR5221754	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221754_minq20.nocig.realigned.bam	MAS	C_3152
SRR5221755	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221755_minq20.nocig.realigned.bam	MAS	C_3152
SRR5221756	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221756_minq20.nocig.realigned.bam	MAS	C_3145
SRR5221757	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221757_minq20.nocig.realigned.bam	MAS	C_3145
SRR5221758	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221758_minq20.nocig.realigned.bam	MAS	C_3145
