sample_accession	run_accession	scientific_name	library_name	base_count	sample_alias	sample_title
SAMN34152208	SRR24138797	Clupea harengus	AM33_Norway_Atlantic_Spring_rg1	2035591600	AM33_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152207	SRR24138802	Clupea harengus	AM29_Norway_Atlantic_Spring_rg2	2463098200	AM29_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152206	SRR24138804	Clupea harengus	AM27_Norway_Atlantic_Spring_rg5	2791995400	AM27_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152191	SRR24138809	Clupea harengus	PB2_Iceland_Atlantic_Spring_rg8	3050736552	PB2_Iceland_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152191	SRR24138810	Clupea harengus	PB2_Iceland_Atlantic_Spring_rg7	3042345297	PB2_Iceland_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152191	SRR24138816	Clupea harengus	PB2_Iceland_Atlantic_Spring_rg1	3307374333	PB2_Iceland_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152191	SRR24138817	Clupea harengus	PB2_Iceland_Atlantic_Spring_rg11	3513522089	PB2_Iceland_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152201	SRR24138824	Clupea harengus	PB1_HastKar_Baltic_Spring_rg5	2678370154	PB1_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152201	SRR24138826	Clupea harengus	PB1_HastKar_Baltic_Spring_rg3	2646647037	PB1_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152201	SRR24138829	Clupea harengus	PB1_HastKar_Baltic_Spring_rg11	3084708699	PB1_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152204	SRR24138830	Clupea harengus	AF31_Norway_Atlantic_Spring_rg4	2389688600	AF31_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152201	SRR24138831	Clupea harengus	PB1_HastKar_Baltic_Spring_rg10	3038239893	PB1_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152195	SRR24138834	Clupea harengus	PB12_Karlskrona_Baltic_Spring_rg7	2481383026	PB12_Karlskrona_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152202	SRR24138836	Clupea harengus	AF29_Norway_Atlantic_Spring_rg2	2800526400	AF29_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN15398089	SRR12106875	Clupea harengus	HGS22_CapeWrath_Atlantic_Autumn_rg2	3534434048	HGS22_CapeWrath	HGS22_CapeWrath
SAMN15398087	SRR12106881	Clupea harengus	HGS18_CelticSea_Atlantic_AutumnWinter_rg1	29289455092	HGS18_CelticSea	HGS18_CelticSea
SAMN15398086	SRR12106883	Clupea harengus	HGS21_Hebrides_Atlantic_Mixed_rg2	5934526802	HGS21_Hebrides	HGS21_Hebrides
SAMN15398085	SRR12106886	Clupea harengus	HGS27_Gloppen_Atlantic_Spring_rg1	23365068050	HGS27_Gloppen	HGS27_Gloppen
SAMN15398035	SRR12106888	Clupea pallasii	Pacific16_Vancouver_Pacific_rg3	16273234200	Pacific16	Pacific16
SAMN15398083	SRR12106889	Clupea harengus	HGS15_NSSH_Atlantic_Spring_rg1	45936621868	HGS15_NSSH	HGS15_NSSH
SAMN15398082	SRR12106890	Clupea harengus	HGS9_Greenland_Atlantic_Spring_rg1	33642323614	HGS9_Greenland	HGS9_Greenland
SAMN15398081	SRR12106891	Clupea harengus	HGS10_Downs_EnglishChannel_Winter_rg1	33996966359	HGS10_Downs	HGS10_Downs
SAMN15398076	SRR12106901	Clupea harengus	HGS25_Lindas_Atlantic_Spring_rg1	21992444830	HGS25_Lindas	HGS25_Lindas
SAMN15398074	SRR12106903	Clupea harengus	LandvikS32_Norway_Baltic_Spring_rg1	20146192590	LandvikS32	LandvikS32
SAMN15398035	SRR12106910	Clupea pallasii	Pacific16_Vancouver_Pacific_rg1	16332449100	Pacific16	Pacific16
SAMN15398067	SRR12106912	Clupea harengus	TysklandS33_Germany_Baltic_rg1	18075315312	TysklandS33	TysklandS33
SAMN15398066	SRR12106913	Clupea harengus	TysklandS18_Germany_Baltic_rg1	30097247621	TysklandS18	TysklandS18
SAMN15398062	SRR12106917	Clupea harengus	HGS3_Riga_Baltic_Autumn_rg1	65763320330	HGS3_Riga	HGS3_Riga
SAMN15398061	SRR12106918	Clupea harengus	HGS2_Riga_Baltic_Spring_rg1	60709814434	HGS2_Riga	HGS2_Riga
SAMN15398034	SRR12106921	Clupea pallasii	Pacific5_Vancouver_Pacific_rg3	17090563500	Pacific5	Pacific5
SAMN15398056	SRR12106924	Clupea harengus	Gavle100_Gavle_Baltic_Autumn_rg1	53730479250	Gavle100	Gavle100
SAMN15398053	SRR12106928	Clupea harengus	AAL3_CelticSea_Atlantic_Winter_rg1	6185319078	AAL3_CelticSea	AAL3_CelticSea
